Key,English Value
admin.analytics.events,Eventos
admin.analytics.geography,Geografía
admin.analytics.last30Days,Últimos 30 días
admin.analytics.last7Days,Últimos 7 días
admin.analytics.last90Days,Últimos 90 días
admin.analytics.pageViews,Visitas a Páginas
admin.analytics.tab,Análisis
admin.analytics.title,Panel de Análisis
admin.analytics.topCountries,Principales Países
admin.analytics.topCountriesDesc,Distribución de visitantes por país
admin.analytics.topEvents,Principales Eventos
admin.analytics.topEventsDesc,Eventos activados con mayor frecuencia
admin.analytics.totalEvents,Eventos Totales
admin.analytics.totalVisitors,Visitantes Totales
admin.analytics.traffic,Tráfico
admin.analytics.trafficOverTime,Tráfico a lo Largo del Tiempo
admin.analytics.trafficOverTimeDesc,Ver visitas a páginas y visitantes únicos a lo largo del tiempo
admin.analytics.visitors,Visitantes
admin.cancelDelete,Cancelar
admin.cannotDeleteSelf,No puedes eliminar tu propia cuenta
admin.confirmDelete,Confirmar Eliminación
admin.created,Creado
admin.dashboardTitle,Panel de Administración
admin.deleteUser,Eliminar Usuario
admin.deleteUserWarning,Esto eliminará permanentemente a este usuario y todos sus datos.
admin.description,"Gestiona usuarios, propiedades, tickets y configuración del sistema"
admin.email,Correo Electrónico
admin.joined,Registrado
admin.kiltSetup,Configuración KILT
admin.kiltSetupDesc,Generar credenciales de prueba para integración de testnet KILT (solo desarrollo)
admin.kiltSetupTitle,Configuración de Protocolo KILT
admin.loading,Cargando
admin.loadingProperties,Cargando propiedades...
admin.loadingTickets,Cargando tickets...
admin.loadingUsers,Cargando usuarios...
admin.manager,Administrador
admin.name,Nombre
admin.openKiltSetup,Abrir Configuración KILT
admin.phone,Teléfono
admin.priority,Prioridad
admin.properties,Propiedades
admin.propertyTitle,Título
admin.roleAddedError,Error al agregar rol
admin.roleAddedSuccess,Rol agregado exitosamente
admin.roles,Roles
admin.settings,Configuración
admin.status,Estado
admin.systemSettings,Configuración del Sistema
admin.systemSettingsDesc,Configurar ajustes y límites del sistema
admin.ticketNumber,Ticket #
admin.tickets,Tickets
admin.type,Tipo
admin.userDeletedError,Error al eliminar usuario
admin.userDeletedSuccess,Usuario eliminado exitosamente
admin.userManagement,Gestión de Usuarios
admin.userManagementDesc,Ver todos los usuarios y gestionar sus roles
admin.userRole,Usuario
admin.users,Usuarios
ai.descriptionGenerated,Descripción generada exitosamente
ai.draft,Borrador
ai.generate,Generar
ai.generationError,Error al generar contenido. Por favor intenta de nuevo.
ai.noTicketContext,No se puede generar respuesta sin contexto del ticket
ai.responseGenerated,Respuesta generada exitosamente
ai.titleRequired,Por favor ingresa un título de propiedad primero
auth.accountDetected,Cuenta detectada
auth.accountDetectedDesc,¡Encontramos tu cuenta! Inicia sesión para aceptar tu invitación de propiedad.
auth.alreadyHaveAccount,¿Ya tienes una cuenta?
auth.authenticationFailed,Error de autenticación
auth.backToHome,Volver al inicio
auth.backToSignIn,Volver a iniciar sesión
auth.cannotSignInUnconfirmed,Correo no confirmado. Por favor revisa tu correo y haz clic en el enlace de confirmación.
auth.changePassword,Cambiar contraseña
auth.checkEmailForReset,Revisa tu correo para el enlace de restablecimiento
auth.checkInboxAndSpam,Revisa tu bandeja de entrada y spam.
auth.checkYourEmail,¡Revisa tu correo!
auth.clickToActivate,Haz clic en el enlace para activar tu cuenta.
auth.confirmPassword,Confirmar contraseña
auth.confirmationLinkSent,Hemos enviado un enlace de confirmación a
auth.confirmationResent,Correo de confirmación reenviado
auth.continueWithGoogle,Continuar con Google
auth.createAccount,Crear cuenta
auth.currentPassword,Contraseña actual
auth.email,Correo electrónico
auth.emailAlreadyVerified,Tu email ya está verificado
auth.emailConfirmationRequired,Por favor confirma tu correo
auth.emailConfirmationSent,Revisa tu correo para el enlace de confirmación
auth.emailNotConfirmed,Por favor confirma tu correo antes de iniciar sesión
auth.emailNotYetVerified,Email aún no verificado. Revisa tu bandeja de entrada.
auth.emailVerified,¡Email verificado!
auth.emailVerifiedDesc,Tu email ha sido verificado. Redirigiendo a la app...
auth.emailVerifiedTitle,¡Email Verificado!
auth.errorCheckingAuth,Error al verificar el estado de autenticación
auth.firstName,Nombre
auth.forgotPassword,¿Olvidaste tu contraseña?
auth.getStarted,Comienza con tu gestión de propiedades
auth.goToApp,Ir a la App
auth.iVerifiedCheckNow,Ya verifiqué - comprobar ahora
auth.invalidCredentials,Correo o contraseña inválidos
auth.invalidResetToken,Enlace de restablecimiento inválido o expirado
auth.invalidToken,El enlace de verificación es inválido o ya fue usado.
auth.lastName,Apellido
auth.linkExpired,Enlace Expirado
auth.linkExpiredDesc,Este enlace de verificación ha expirado. Por favor solicita uno nuevo.
auth.linkExpiresIn24Hours,El enlace expira en 24 horas.
auth.networkError,Error de red. Por favor verifica tu conexión.
auth.newPassword,Nueva contraseña
auth.noAccountDetected,Cuenta no encontrada
auth.noAccountDetectedDesc,No encontramos una cuenta con tu correo electrónico. Vamos a crear una para aceptar tu invitación.
auth.noAccountYet,¿No tienes cuenta todavía?
auth.noVerificationToken,Sin Token de Verificación
auth.noVerificationTokenDesc,Por favor usa el enlace de verificación de tu email.
auth.orContinueWith,o continuar con
auth.password,Contraseña
auth.passwordChangeFailed,Error al cambiar la contraseña
auth.passwordChanged,Contraseña cambiada con éxito
auth.passwordRequirements,Debe tener al menos 8 caracteres
auth.passwordResetSuccess,¡Contraseña actualizada con éxito!
auth.passwordTooShort,La contraseña debe tener al menos 8 caracteres
auth.passwordsDoNotMatch,Las contraseñas no coinciden
auth.pleaseWait,Por favor espera mientras verificamos tu email.
auth.rateLimitExceeded,Demasiadas solicitudes. Por favor intenta de nuevo en 1 hora.
auth.requestNewLink,Solicitar Nuevo Enlace
auth.resendConfirmation,Reenviar correo de confirmación
auth.resendVerificationEmail,Reenviar Email de Verificación
auth.resetLinkSent,¡Enlace de restablecimiento enviado!
auth.resetPassword,Restablecer contraseña
auth.resetPasswordDesc,Ingresa tu correo para recibir un enlace de restablecimiento
auth.resetPasswordTitle,Restablece tu contraseña
auth.resetTokenExpired,Este enlace de restablecimiento ha expirado. Solicita uno nuevo.
auth.sendResetLink,Enviar enlace de restablecimiento
auth.setNewPassword,Establecer nueva contraseña
auth.signIn,Iniciar sesión
auth.signInFailed,Error al iniciar sesión
auth.signInHere,Inicia sesión aquí
auth.signInSuccess,¡Sesión iniciada con éxito!
auth.signInToContinue,Inicia sesión para continuar a tu panel
auth.signOut,Cerrar Sesión
auth.signUp,Registrarse
auth.signUpFailed,Error al crear cuenta
auth.signUpHere,Regístrate aquí
auth.signUpSuccess,¡Cuenta creada con éxito!
auth.trustBadge,Confiado por gestores de propiedades en toda Europa
auth.userAlreadyRegistered,Este correo ya está registrado
auth.valueProps.automated.description,"Rastrea pagos de alquiler, fechas de vencimiento e historial de pagos en un solo lugar."
auth.valueProps.automated.title,Seguimiento de Pagos Simple
auth.valueProps.realtime.description,"Rastrea solicitudes de mantenimiento, pagos y comunicaciones en un solo lugar."
auth.valueProps.realtime.title,Actualizaciones en Tiempo Real
auth.valueProps.secure.description,Firma contratos de alquiler con firmas digitales legalmente vinculantes y verificación de identidad.
auth.valueProps.secure.title,Contratos Digitales Seguros
auth.valueProps.title,Simplifica la Gestión de tus Propiedades
auth.verificationEmailFailed,Error al enviar email de verificación
auth.verificationEmailSent,¡Email de verificación enviado!
auth.verificationFailed,Verificación Fallida
auth.verificationSentTo,Enviamos un enlace de verificación a
auth.verifyYourEmail,Verifica Tu Email
auth.verifyingEmail,Verificando tu email...
auth.weakPassword,"Contraseña muy débil. Usa una mezcla de letras, números y símbolos."
auth.welcomeBack,Bienvenido de nuevo
buttons.documents,Documentos
buttons.inviteTenant,Invitar Inquilino
buttons.maintenance,Mantenimiento
buttons.manageTenants,Gestionar Inquilinos
buttons.tickets,Tickets
buttons.viewAll,Ver Todo
common.acceptAll,Aceptar Todas las Cookies
common.actions,Acciones
common.amount,Monto
common.archive,Archivar
common.back,Atrás
common.cancel,Cancelar
common.category,Categoría
common.close,Cerrar
common.comingSoon,Próximamente
common.confirm,Confirmar
common.cookieConsent,Consentimiento de Cookies
common.cookieMessage,"Usamos cookies para mejorar tu experiencia. Al continuar visitando este sitio, aceptas nuestro uso de cookies."
common.create,Crear
common.creating,Creando...
common.days,días
common.delete,Eliminar
common.download,Descargar
common.draft,Borrador
common.dueDate,Fecha de Vencimiento
common.edit,Editar
common.error,Error
common.filter,Filtrar
common.in,en
common.loading,Cargando...
common.month,mes
common.na,N/D
common.next,Siguiente
common.no,No
common.none,Ninguno
common.notAuthenticated,No autenticado
common.of,de
common.open,Abrir
common.optional,Opcional
common.priority,Prioridad
common.rejectNonEssential,Rechazar No Esenciales
common.retry,Reintentar
common.save,Guardar
common.search,Buscar
common.sent,Enviado
common.status,Estado
common.submit,Enviar
common.success,Éxito
common.title,Título
common.today,Hoy
common.tomorrow,Mañana
common.type,Tipo
common.unknown,Desconocido
common.update,Actualizar
common.upload,Subir
common.uploading,Subiendo...
common.user,Usuario
common.validationError,Error de Validación
common.yes,Sí
configuration.addMaintenanceTask,Agregar Tarea de Mantenimiento
configuration.addTemplate,Agregar Plantilla
configuration.defaultDepositHelper,"Ingrese el monto del depósito de seguridad predeterminado (p. ej., 1000 para €1,000.00)"
configuration.defaultDepositPlaceholder,0
configuration.defaultDepositTitle,Depósito de Seguridad Predeterminado
configuration.defaultsDescription,Establecer valores predeterminados para nuevos contratos de alquiler
configuration.defaultsTitle,Configuración Predeterminada
configuration.documentTemplatesDesc,Plantillas de documentos reutilizables para propiedades
configuration.documentTemplatesHelper,Cree plantillas de documentos que se pueden copiar a propiedades. Estas plantillas están disponibles en todas sus propiedades.
configuration.documentTemplatesTitle,Plantillas de Documentos
configuration.electricityBillDesc,Requerir comprobante de pago de factura de electricidad cada mes
configuration.electricityBillTitle,Verificación Mensual de Factura de Electricidad
configuration.pageDescription,Administre la configuración y valores predeterminados de gestión de propiedades
configuration.pageTitle,Configuración
configuration.paymentConfirmDesc,Requerir que el inquilino confirme los pagos mensuales de alquiler
configuration.paymentConfirmTitle,Confirmación de Pago Mensual
configuration.requireKYCDesc,Requerir que los inquilinos verifiquen su identidad antes de firmar contratos
configuration.requireKYCTitle,Requerir Verificación de Identidad
configuration.saveDefaults,Guardar Valores Predeterminados
configuration.saving,Guardando...
configuration.standardMaintenanceDesc,Cree plantillas de tareas de mantenimiento reutilizables que se pueden aplicar a cualquier propiedad
configuration.standardMaintenanceTitle,Plantillas de Mantenimiento Estándar
configuration.tabs.defaults,Valores Predeterminados
configuration.tabs.maintenance,Mantenimiento Estándar
configuration.tabs.payments,Pagos
configuration.tabs.repairShops,Talleres de Reparación
configuration.tabs.templates,Plantillas de Documentos
configuration.title,Configuración
configuration.waterBillDesc,Requerir comprobante de pago de factura de agua cada mes
configuration.waterBillTitle,Verificación Mensual de Factura de Agua
contractSignature.blockchainVerified,Identidad Blockchain Verificada
contractSignature.checkingKYC,Verificando estado de verificación...
contractSignature.completeVerificationLink,Completar Verificación en Configuración
contractSignature.description,Firma de contratos de alquiler de forma segura con firma electrónica cualificada eIDAS
contractSignature.downloadContract,Contrato Firmado Disponible
contractSignature.error,Error al enviar el recordatorio
contractSignature.expiresOn,La solicitud de firma expira
contractSignature.initiate,Iniciar Firma Digital
contractSignature.initiated,Proceso de firma iniciado
contractSignature.kycEnhancement,Complete la verificación KILT para identidad verificada en blockchain (mejora opcional)
contractSignature.kycNotVerified,Identidad No Verificada
contractSignature.kycOptional,La Verificación de Identidad es Opcional
contractSignature.kycRequiredForDock,Verificación de identidad requerida
contractSignature.kycVerified,Identidad Verificada
contractSignature.managerKYCRequired,Debes completar la verificación de identidad antes de firmar contratos.
contractSignature.managerSignature,Firma del Propietario
contractSignature.methods.certificadoDigital,Certificado Digital (FNMT)
contractSignature.methods.clave,Autenticación Cl@ve
contractSignature.methods.qualifiedSignature,Firma Cualificada
contractSignature.reminder.lastSentAt,Último recordatorio enviado
contractSignature.reminder.reminderSent,Recordatorio Enviado
contractSignature.reminder.sendReminder,Enviar Recordatorio
contractSignature.requireKYCDescription,"Cuando está habilitado, ambas partes deben completar KILT KYC antes de firmar"
contractSignature.requireKYCTitle,Requerir Verificación de Identidad
contractSignature.sending,Enviando recordatorio...
contractSignature.signNow,Firmar Ahora
contractSignature.signed,Firma completada
contractSignature.signedOn,Firmado el
contractSignature.standardSignature,Firma Electrónica Estándar
contractSignature.status.cancelled,Cancelado
contractSignature.status.completed,Completado
contractSignature.status.failed,Fallido
contractSignature.status.inProgress,En Proceso
contractSignature.status.pending,Pendiente
contractSignature.success,Recordatorio enviado exitosamente al inquilino
contractSignature.tenantKYCRequired,El inquilino debe completar la verificación de identidad antes de firmar.
contractSignature.tenantSignature,Firma del Inquilino
contractSignature.title,Firma Digital del Contrato
contractSignature.verificationRequired,Verificación Requerida
contractSignature.waitingForManager,Esperando a que el propietario inicie el proceso de firma
contractSignature.waitingForTenant,Esperando firma del inquilino
contracts.manager,Propietario
contracts.managerInfo,Administrador de Propiedad
contracts.managerSignature,Propietario
contracts.method,Método de Contrato
contracts.noManagerInfo,Información del administrador no disponible
contracts.noRentalTerms,Sin términos de alquiler configurados
contracts.rentalTerms,Términos de Alquiler
contracts.requestExpiration,Vencimiento de Solicitud
contracts.signatureStatus,Estado de Firma
contracts.tenant,Inquilino
contracts.tenantInfo,Información del Inquilino
contracts.tenantSignature,Inquilino
createFirst,Cree un acuerdo de alquiler para comenzar a cobrar pagos de alquiler
dashboard.active,Activo
dashboard.allPropertiesArchived,Todas las propiedades están archivadas
dashboard.archived,Archivado
dashboard.createProperty,Crear Propiedad
dashboard.getStarted,Comienza creando una propiedad o aceptando invitaciones de inquilino
dashboard.manageProperties,Gestionar Propiedades
dashboard.managePropertiesDesc,Crea y gestiona tus propias propiedades
dashboard.myProperties,Mis Propiedades
dashboard.myPropertiesDesc,Propiedades que gestionas
dashboard.noActiveProperties,No hay propiedades activas
dashboard.noArchivedProperties,No hay propiedades archivadas aún
dashboard.noProperties,No se encontraron propiedades
dashboard.tenantAccess,Acceso de Inquilino
dashboard.tenantAccessDesc,Aún no has sido añadido a ninguna propiedad. Contacta a tu administrador de propiedades para obtener acceso.
dashboard.tenantProperties,Propiedades como Inquilino
dashboard.title,Panel
dialogs.allowedTypes,"Permitido: PDF, DOC, DOCX, ODT, XLS, XLSX, ODS, TXT"
dialogs.archiveProperty.activePropertyExists,No se puede crear nueva propiedad. Ya existe una propiedad activa en esta dirección.
dialogs.archiveProperty.archive,Archivar
dialogs.archiveProperty.archiving,Archivando...
dialogs.archiveProperty.createNewProperty,Mantener la propiedad activa y disponible para el próximo inquilino
dialogs.archiveProperty.descriptionArchive,Archivar esta propiedad permanentemente.
dialogs.archiveProperty.descriptionEndTenancy,Termina el arrendamiento actual y opcionalmente crea una nueva propiedad activa para el próximo inquilino.
dialogs.archiveProperty.endTenancy,Terminar Arrendamiento
dialogs.archiveProperty.endingTenancy,Finalizando Arrendamiento...
dialogs.archiveProperty.endingTenancyExists,No se puede terminar el arrendamiento. Otra propiedad en esta dirección ya está en estado \
dialogs.archiveProperty.notesLabel,Notas Adicionales (Opcional)
dialogs.archiveProperty.notesPlaceholder,Agrega información adicional...
dialogs.archiveProperty.reasonLabel,Razón para Terminar el Arrendamiento *
dialogs.archiveProperty.reasonMerged,Fusionada con Otra Propiedad
dialogs.archiveProperty.reasonNoLonger,Ya No Se Gestiona
dialogs.archiveProperty.reasonOther,Otra
dialogs.archiveProperty.reasonPlaceholder,Selecciona una razón
dialogs.archiveProperty.reasonRequired,Se requiere una razón
dialogs.archiveProperty.reasonSold,Vendida
dialogs.archiveProperty.success,Propiedad archivada exitosamente
dialogs.archiveProperty.successArchive,Propiedad archivada exitosamente.
dialogs.archiveProperty.successEndTenancy,Arrendamiento terminado. Propiedad movida al estado \
dialogs.archiveProperty.successWithNew,Arrendamiento terminado y nueva propiedad activa creada.
dialogs.archiveProperty.titleArchive,Archivar
dialogs.archiveProperty.titleEndTenancy,Terminar Arrendamiento
dialogs.archiveProperty.warningMessageArchive,Esto archivará permanentemente al inquilino. Todos los datos serán de solo lectura.
dialogs.archiveProperty.warningMessageEndTenancy,Los inquilinos tendrán acceso de solo lectura. La propiedad pasará al estado \
dialogs.archiveProperty.warningTitleArchive,Advertencia
dialogs.archiveProperty.warningTitleEndTenancy,Importante
dialogs.confirmAccountDeletion,Confirmar Eliminación de Cuenta
dialogs.confirmAccountDeletionDesc,Tu cuenta será eliminada en 14 días. Puedes cancelar en cualquier momento antes.
dialogs.contactEnterpriseSales,Contactar Ventas Enterprise
dialogs.contactEnterpriseSalesDesc,Cuéntanos sobre tus necesidades y nuestro equipo creará una solución personalizada para ti.
dialogs.createNewProperty,Crear Nueva Propiedad
dialogs.createNewTicket,Crear Nuevo Ticket
dialogs.createNewTicketDesc,Envía un nuevo ticket para un problema o solicitud de propiedad.
dialogs.createProperty.addressLabel,Dirección
dialogs.createProperty.addressPlaceholder,Calle Principal 123
dialogs.createProperty.cancel,Cancelar
dialogs.createProperty.create,Crear Propiedad
dialogs.createProperty.creating,Creando...
dialogs.createProperty.descriptionLabel,Descripción
dialogs.createProperty.descriptionPlaceholder,Hermosa propiedad con vistas al mar...
dialogs.createProperty.success,Propiedad creada exitosamente
dialogs.createProperty.title,Crear Nueva Propiedad
dialogs.createProperty.titleLabel,Título de la Propiedad *
dialogs.createProperty.titlePlaceholder,Villa Frente al Mar
dialogs.createProperty.titleRequired,El título es requerido
dialogs.createProperty.titleTooLong,El título debe tener menos de 100 caracteres
dialogs.createProperty.validationError,Error de Validación
dialogs.createRecurringSchedule,Crear Programación Recurrente
dialogs.createTicket.cancel,Cancelar
dialogs.createTicket.characters,caracteres
dialogs.createTicket.create,Crear Ticket
dialogs.createTicket.created,Ticket creado
dialogs.createTicket.createdDesc,Tu ticket ha sido creado exitosamente.
dialogs.createTicket.description,Envía un nuevo ticket para un problema o solicitud de propiedad.
dialogs.createTicket.descriptionLabel,Descripción *
dialogs.createTicket.descriptionPlaceholder,Descripción detallada del problema o solicitud
dialogs.createTicket.missingFields,Campos faltantes
dialogs.createTicket.missingFieldsDesc,Por favor completa todos los campos requeridos.
dialogs.createTicket.priorityLabel,Prioridad *
dialogs.createTicket.propertyLabel,Propiedad *
dialogs.createTicket.propertyPlaceholder,Selecciona propiedad
dialogs.createTicket.title,Crear Nuevo Ticket
dialogs.createTicket.titleLabel,Título *
dialogs.createTicket.titlePlaceholder,Breve descripción del problema
dialogs.createTicket.typeLabel,Tipo *
dialogs.creating,Creando...
dialogs.deleteAccount,Eliminar Cuenta
dialogs.deleteAccountDesc,Esto te navegará a la configuración de Privacidad de la Cuenta donde puedes solicitar la eliminación con todos los detalles sobre qué se eliminará y qué se conservará.
dialogs.deleteMaintenanceTask,Eliminar Tarea de Mantenimiento
dialogs.deleteMaintenanceTaskDesc,¿Estás seguro de que quieres eliminar esta tarea? Esto también eliminará todas las programaciones y tickets generados asociados. Esta acción no se puede deshacer.
dialogs.deleteProperty.archive,Archivar Propiedad
dialogs.deleteProperty.archiving,Archivando...
dialogs.deleteProperty.description,Esto marcará la propiedad como inactiva. Puedes verla en la sección de propiedades archivadas.
dialogs.deleteProperty.notesLabel,Notas Adicionales (Opcional)
dialogs.deleteProperty.notesPlaceholder,Agrega información adicional...
dialogs.deleteProperty.reasonLabel,Razón para Archivar *
dialogs.deleteProperty.reasonMerged,Fusionada con Otra Propiedad
dialogs.deleteProperty.reasonNoLonger,Ya No Se Gestiona
dialogs.deleteProperty.reasonOther,Otra
dialogs.deleteProperty.reasonPlaceholder,Selecciona una razón
dialogs.deleteProperty.reasonSold,Vendida
dialogs.deleteProperty.title,Archivar Propiedad
dialogs.deleteProperty.warningMessage,Archivar esta propiedad afectará las invitaciones pendientes y el acceso de los inquilinos.
dialogs.deleteProperty.warningTitle,Advertencia
dialogs.descriptionOptional,Descripción (Opcional)
dialogs.descriptionPlaceholder,Agregar una descripción para esta plantilla...
dialogs.dragDropFile,"Arrastre y suelte un archivo aquí, o haga clic para seleccionar"
dialogs.editProperty.save,Guardar Cambios
dialogs.editProperty.saving,Guardando...
dialogs.editProperty.success,Propiedad actualizada exitosamente
dialogs.editProperty.title,Editar Propiedad
dialogs.editRentAgreement,Editar Contrato de Alquiler
dialogs.editRentAgreementDesc,Actualiza los detalles del contrato de alquiler. El inquilino será notificado de los cambios.
dialogs.endTenancy.confirm,Confirmar Fecha de Fin
dialogs.endTenancy.description,Establece una fecha de fin planificada. Puedes configurar un nuevo inquilino en paralelo.
dialogs.endTenancy.parallelSetupHint,"Después de establecer la fecha de fin, puedes comenzar a configurar un nuevo inquilino desde la pestaña Resumen."
dialogs.endTenancy.pickDate,Seleccionar fecha de fin
dialogs.endTenancy.selectEndDate,Fecha de Fin Planificada
dialogs.endTenancy.tenantLabel,Inquilino
dialogs.endTenancy.title,Terminar Arrendamiento
dialogs.enterVerificationCode,Ingresa el Código de Verificación
dialogs.fileTypeNotAllowed,"Tipo de archivo no permitido. Por favor, suba un archivo de documento."
dialogs.grantProAccess,Otorgar Acceso Pro
dialogs.grantProAccessDesc,Dar a este usuario acceso Pro temporal. Será degradado automáticamente cuando expire la duración.
dialogs.inviteTenant.alreadyInvited,Ya se ha enviado una invitación a este correo electrónico
dialogs.inviteTenant.alreadyTenant,Este usuario ya es inquilino de esta propiedad
dialogs.inviteTenant.cancel,Cancelar
dialogs.inviteTenant.emailLabel,Correo Electrónico
dialogs.inviteTenant.emailPlaceholder,inquilino@ejemplo.com
dialogs.inviteTenant.emailWarning,Invitación creada pero el envío de correo falló. La invitación se guardó y puede reenviarse más tarde.
dialogs.inviteTenant.helpText,"Si el usuario existe, será añadido inmediatamente. De lo contrario, recibirá una invitación."
dialogs.inviteTenant.send,Enviar Invitación
dialogs.inviteTenant.sending,Enviando...
dialogs.inviteTenant.sent,Invitación Enviada
dialogs.inviteTenant.sentDesc,Se ha enviado una invitación a
dialogs.inviteTenant.title,Invitar Inquilino a
dialogs.manageTenants.added,Añadido
dialogs.manageTenants.cancel,Cancelar
dialogs.manageTenants.cancelInvitation,Cancelar Invitación
dialogs.manageTenants.cancelInvitationDesc,¿Estás seguro de que quieres cancelar la invitación a
dialogs.manageTenants.cancelInvitationMessage,Ya no podrán aceptar esta invitación.
dialogs.manageTenants.cancelInvitationTitle,¿Cancelar Invitación?
dialogs.manageTenants.currentTenants,Inquilinos Actuales
dialogs.manageTenants.description,Inquilinos asignados a
dialogs.manageTenants.emailFailed,Error al reenviar email
dialogs.manageTenants.emailResent,Email reenviado
dialogs.manageTenants.emailResentDesc,El email de invitación ha sido enviado nuevamente
dialogs.manageTenants.endTenancy,Terminar Arrendamiento
dialogs.manageTenants.endTenancyMessage,Esto marcará el arrendamiento como terminando para
dialogs.manageTenants.endTenancyTitle,¿Terminar Arrendamiento?
dialogs.manageTenants.expires,Expira
dialogs.manageTenants.finalize,Finalizar
dialogs.manageTenants.finalizeMessage,Esto terminará permanentemente el arrendamiento y lo moverá al historial para
dialogs.manageTenants.finalizeTitle,¿Finalizar Arrendamiento?
dialogs.manageTenants.invitationCancelled,Invitación cancelada
dialogs.manageTenants.invitationCancelledDesc,ha sido cancelada
dialogs.manageTenants.invitationTo,Invitación a
dialogs.manageTenants.inviteNewTenant,Invitar Nuevo Inquilino
dialogs.manageTenants.loading,Cargando inquilinos...
dialogs.manageTenants.noTenants,Aún no hay inquilinos - invita a alguien para comenzar
dialogs.manageTenants.pendingInvitations,Invitaciones Pendientes
dialogs.manageTenants.propertyLifecycle,Ciclo de Vida de la Propiedad
dialogs.manageTenants.remove,Eliminar
dialogs.manageTenants.removeDescription,de
dialogs.manageTenants.removeMessage,Perderán el acceso a esta propiedad.
dialogs.manageTenants.removeTitle,¿Eliminar Inquilino?
dialogs.manageTenants.removed,Inquilino eliminado
dialogs.manageTenants.removedDesc,ha sido eliminado de
dialogs.manageTenants.resend,Reenviar Email
dialogs.manageTenants.resending,Reenviando...
dialogs.manageTenants.sendInvitation,Enviar Invitación
dialogs.manageTenants.tenancyEnding,El arrendamiento está finalizando. Acceso establecido en solo lectura.
dialogs.manageTenants.tenancyFinalized,El arrendamiento ha sido finalizado y movido al historial.
dialogs.manageTenants.title,Gestionar Inquilinos
dialogs.pleaseEnterTitle,Por favor ingrese un título de documento
dialogs.pleaseFillRequired,Por favor complete todos los campos requeridos
dialogs.pleaseSelectFile,Por favor seleccione un archivo para subir
dialogs.propertyDocuments.deleteFailed,Error al eliminar documento
dialogs.propertyDocuments.deleteSuccess,Documento eliminado exitosamente
dialogs.propertyDocuments.description,"Ve, sube y gestiona documentos de esta propiedad. Tanto administradores como inquilinos pueden subir documentos."
dialogs.propertyDocuments.downloadFailed,Error al descargar documento
dialogs.propertyDocuments.dragAndDropHint,"Arrastra y suelta un archivo aquí, o haz clic para seleccionar"
dialogs.propertyDocuments.hideUpload,Ocultar Subida
dialogs.propertyDocuments.loading,Cargando documentos...
dialogs.propertyDocuments.noDocuments,No hay documentos subidos aún
dialogs.propertyDocuments.previousVersions,Versiones Anteriores
dialogs.propertyDocuments.seeVersions,Ver todas las versiones
dialogs.propertyDocuments.title,Documentos de Propiedad
dialogs.propertyDocuments.uploadNew,Subir Nuevo Documento
